size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy
200,1,0.805,0.5333333333333333,0.6419437340153452,0.6570680628272252,0.6275,0.48624999999999996,0.345,0.64,0.615
300,1,0.7566666666666667,0.5716666666666667,0.690734055354994,0.665893271461717,0.7175,0.49875,0.28,0.73,0.705
400,1,0.7875,0.44666666666666666,0.47133757961783446,0.6491228070175439,0.37,0.485,0.6,0.365,0.375
500,1,0.774,0.5033333333333333,0.5814606741573033,0.6634615384615384,0.5175,0.49624999999999997,0.475,0.515,0.52
600,1,0.725,0.5433333333333333,0.6522842639593909,0.6623711340206185,0.6425,0.49374999999999997,0.345,0.63,0.655
700,1,0.7128571428571429,0.475,0.5569620253164557,0.6366559485530546,0.495,0.46499999999999997,0.435,0.545,0.445
800,1,0.6975,0.485,0.544918998527246,0.6630824372759857,0.4625,0.49625,0.53,0.48,0.445
900,1,0.66,0.5783333333333334,0.6977299880525686,0.6681922196796338,0.73,0.5025,0.275,0.725,0.735
1000,1,0.666,0.51,0.5637982195845698,0.6934306569343066,0.475,0.5275,0.58,0.475,0.475
